Mods count: 149
 
                                      jar name                                        |    notes     |                mod id                 |                                   mod name                                   |          mod version           |                                                                                                                                                                                                                                                                                                                                                                                                               mixin configs                                                                                                                                                                                                                                                                                                                                                                                                               |              modrinth hash               | curseforge hash
--------------------------------------------------------------------------------------+--------------+---------------------------------------+------------------------------------------------------------------------------+--------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------+----------------
neoforge-21.1.227 (modloader)                                                         |              | neoforge                              | neoforge                                                                     | neoforge-21.1.227              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
AdvancedPeripherals-1.21.1-0.7.61b.jar                                                |              | advancedperipherals                   | Advanced Peripherals                                                         | 0.7.61b                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 63476c463a2e97c5802aaddf7ffb7c1f59c39621 | 2304175964     
AmbientSounds_NEOFORGE_v6.3.3_mc1.21.1.jar                                            |              | ambientsounds                         | AmbientSounds                                                                | 6.3.3                          | ambientsounds.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 3d88e0e8d987706edf645b2e1617612d3e666358 | 394126984      
appleskin-neoforge-mc1.21-3.0.9.jar                                                   |              | appleskin                             | AppleSkin                                                                    | 3.0.9+mc1.21                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 81cf0e668f991f83ac8820c386fbd6c9c3602246 | 3551532297     
architectury-13.0.8-neoforge.jar                                                      |              | architectury                          | Architectury                                                                 | 13.0.8                         | architectury.mixins.json, architectury-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 6ca11d3cc136bf69bb8f4d56982481eb85b5100b | 418634412      
ars_nouveau-1.21.1-5.11.3.jar                                                         |              | ars_nouveau                           | Ars Nouveau                                                                  | 5.11.3                         | ars_nouveau.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 0af12dd7fda63a4261ceb302c9bb57fc235641c6 | 4191783025     
    /META-INF/jarjar/infiniverse-568341-5486311.jar                                   |              | infiniverse                           | Infiniverse                                                                  | 2.0.1.0                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
    /META-INF/jarjar/nuggets-neoforge-1.21.1-1.1.0.48.jar                             |              | nuggets                               | Nuggets                                                                      | 1.1.0.48                       | nuggets.neoforge.mixins.json, nuggets.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |                                          |                
    /META-INF/jarjar/lambdynamiclights-api-4.5.1+1.21.1-mojmap.jar                    |              | lambdynlights_api                     | LambDynamicLights (API)                                                      | 4.5.1+1.21.1                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
