Mods count: 114
 
                                      jar name                                        |    notes     |                mod id                |                                   mod name                                   |          mod version           |                                                                                                                                                                                                                                                                                                                                                                                                               mixin configs                                                                                                                                                                                                                                                                                                                                                                                                               |              modrinth hash               | curseforge hash
--------------------------------------------------------------------------------------+--------------+--------------------------------------+------------------------------------------------------------------------------+--------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------+----------------
neoforge-21.1.228 (modloader)                                                         |              | neoforge                             | neoforge                                                                     | neoforge-21.1.228              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
AdvancedPeripherals-1.21.1-0.7.61b.jar                                                |              | advancedperipherals                  | Advanced Peripherals                                                         | 0.7.61b                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 63476c463a2e97c5802aaddf7ffb7c1f59c39621 | 2304175964     
aeronauticscovers-1.21.1-NeoForge-1.0.1.jar                                           |              | aeronauticscovers                    | Aeronautics Covers                                                           | 1.0.1                          | aeronauticscovers.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | c4404a98d85c75e5e80ace462c3ed1bdf0b1c93e | 2774972217     
almostunified-neoforge-1.21.1-1.4.1.jar                                               |              | almostunified                        | AlmostUnified                                                                | 1.21.1-1.4.1                   | almostunified-common.mixins.json, almostunified-neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 69913ae6d63f2e10603b272bb8a957c7d0f3f0e4 | 1774341468     
appleskin-neoforge-mc1.21-3.0.9.jar                                                   |              | appleskin                            | AppleSkin                                                                    | 3.0.9+mc1.21                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 81cf0e668f991f83ac8820c386fbd6c9c3602246 | 3551532297     
architectury-13.0.8-neoforge.jar                                                      |              | architectury                         | Architectury                                                                 | 13.0.8                         | architectury.mixins.json, architectury-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 6ca11d3cc136bf69bb8f4d56982481eb85b5100b | 418634412      
bclib-21.0.20.jar                                                                     |              | bclib                                | BCLib                                                                        | 21.0.20                        | bclib.mixins.client.json, bclib.mixins.common.json, ui.mixins.client.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | ddeb239d00fe5ece6352778726e4f599c7f20b49 | 1571426341     
BetterEnd-21.0.24.jar                                                                 |              | betterend                            | Better End                                                                   | 21.0.24                        | betterend.mixins.client.json, betterend.mixins.common.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | a4344efa302c04ab11fa5313032836c662fb540c | 315888363      
BetterNether-21.0.19.jar                                                              |              | betternether                         | Better Nether                                                                | 21.0.19                        | betternether.mixins.common.json, betternether.mixins.client.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | c2832f94bbea4471cfda71c574321666e13ad606 | 1269269578     
biolith-neoforge-3.0.10.jar                                                           |              | biolith                              | Biolith                                                                      | 3.0.10                         | biolith.mixins.json, biolith.neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | e04f50b55f1a917956a038c10066118264e4e170 | 3426477520     
c2me-neoforge-mc1.21.1-0.3.0+alpha.0.91.jar                                           |              | c2me                                 | Concurrent Chunk Management Engine                                           | 0.3.0+alpha.0.91+1.21.1        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | c858c8becfb5205eb12aaf0420eb82c307c2e6a7 | 3458117246     
    /META-INF/jars/asyncutil-0.1.0.jar                                                |              |                                      |                                                                              |                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
    /META-INF/jars/c2me-base-mc1.21.1-0.3.0+alpha.0.91-all.jar                        |              | c2me_base                            | Concurrent Chunk Management Engine (Base)                                    | 0.3.0+alpha.0.91+1.21.1        | c2me-base.mixins.json, c2me.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
